year,sample_event_date,sample_event_date_edb,sample_year,Nili_id,mb_id,edb_id,Movebank_study,mb_study,transm_id,deploy_on,deploy_off,no_tag_days,wing_tag,wing_tag_color,origin,birth_year,age_class,sex,location,wild_caged,result,pos_neg_1,speciesR,seq_quality,species1,homology,bases,species2,homology,bases,PCR_Number_oldtemp,Sample_Number,HyLab_Order,Primer,Date_Sent,Homology_1st_match,,Homology_2nd_match,,HyLab_Order,Primer,Date_Sent,Aligned_Homology,,Gel_Batch,pos_neg,remark,PCR_+_GEL_Number_(Miranda),Sample_Number,HyLab_Order,Primer,Date_Sent,Homology_1st_Match,,Homology_2nd_Match,,,Hylab_Order,Primer,Date_Sent,,,,
2021,29-Sep-21,2021-09-29,2021,yomtov,Y26b,Y26b,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213592,29-Sep-21,,,Y26,black,Wild,2019,sub,f,Negev,wild,,pos,Maculosim,,myco. Maculosim NCTC,0.99,945/947,,,,,,,,,,,,,,,,,,1,pos,,42,SB58,484751,MGSO_R,2021-06-23,myco. Maculosim NCTC,0.99,myco. Macu. NBRC,0.99,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,nico,T91b,T91b,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213581,13-Sep-21,,,T91 ,black,Wild,2004,ad,m,Negev,wild,,pos,47802B,,myco. 47802B,0.99,939/946,myco. M222-5,0.99,933/940,19,SB15,480649,GPF_F,2021-05-23,unknown,,,,481918,MGSO_R,,cannot assemble,,1,pos,,19,SB15,484751,MGSO_R,2021-06-23,myco. 47802B,0.99,myco. M222-5,0.99,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,nelson,T71w,T71w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213547,13-Sep-21,28-Dec-21,106,T71,white ,Wild,2019,sub,NA,Negev,wild,,pos,,double,double,,,,,,8,SB3,479193,GPF_F,45174,,,,,,,,double peak,,1,pos,,6,SB3,,,,,,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,boker,T53b,T53b,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213575,29-Sep-21,25-Jul-23,664,T53,black,Wild,2016,ad,m,Negev,wild,,pos,myco_005,double,myco. 005,0.93,double,myco. 1449,0.92,,21,SB38,480649,GPF_F,2021-05-23,myco. 47802B,0.97,myco. 005,0.96,481918,MGSO_R,,cannot assemble,,1,pos,,21,SB38,481926,MGSO_R,45144,myco. 005,0.93,myco. 1449,0.92,double peaks,,,,,,,
2021,29-Sep-21,2021-09-29,2021,faculta,T15w,T15w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213590,29-Sep-21,,,T15,white,Wild,2004,ad,f,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,1,neg,,40,SB40,nanodrop too low - not sent ,,,,,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,spiegel,T14w,T14w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213577,29-Sep-21,10-Jan-22,103,T14 ,white,Wild,2015,ad,m,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,1,neg,,37,SB43,nanodrop too low - not sent ,,,,,,,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,talkitna,T13b,T13b,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213573,07-Oct-21,,,T13,black,Wild,2014,ad,m,Negev,wild,,pos,myco_005,,myco. 005,0.99,952/953,myco. 1449,0.99,950/955(99%),,,,,,,,,,,,,,,2,pos,,72,SB65,486414,MGSO_R,45023,myco. 005,0.99,myco. 1449,0.99,,,,,,,,
2021,09-Nov-21,2021-11-09,2021,jose,J05w,J05w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,202363,09-Nov-21,,,J05 ,white,Wild,2019,sub,f,Negev,wild,,pos,myco_005,,myco. 005,0.99,950/953,myco. SH20,0.99,948/955,,,,,,,,,,,,,,,2,pos,,56,SB86,486414,MGSO_R,45023,myco. 005,0.99,myco. SH20,0.99,,,,,,,,
2021,22-Oct-21,2021-10-22,2021,jojo,E45w,E45w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213550,22-Oct-21,,,E45,white ,Wild,2019,sub,f,Negev,wild,,pos,,,myco. Sp18b,0.81,,myco. 27639,0.8,,,,,,,,,,,,,,,,2,pos,,67,SB80,486414,MGSO_R,45023,myco. Sp18b,0.81,myco. 27639,0.8,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,etretat,E34w,E34w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,202364,07-Oct-21,,,E34,white,Wild,2006,ad,f,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,2,pos,,63,SB76,487648,MGSO_R,2013-07-23,stecheria intestinalis,0.91,anaerotruncus,0.91,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,tess,E33w,E33w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,202387,07-Oct-21,16-Oct-21,9,E33,white,Wild,2015,ad,f,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,2,neg,,61,SB74,,,,,,,,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,elgin,E32w,E32w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,202401,07-Oct-21,,,E32,white,Wild,2004,ad,m,Negev,wild,,pos,synovia,,myco. Syno HN01,0.99,,,,,,,,,,,,,,,,,,,2,pos,,65,SB77,486414,MGSO_R,45023,myco. Syno HN01,0.99,myco. Syno NCTC,0.99,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,yungala,E30w,E30w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213568,07-Oct-21,17-Jan-22,102,E30,white,Wild,2013,ad,f,Negev,wild,,pos,,,myco. Sp18b,0.99,,myco. 27639,0.99,,myco. Sp18b,0.99,myco. 27639,0.99,,,,,,,,,,,2,pos,,60,SB73,487648,MGSO_R,2013-07-23,myco. Sp18b,0.99,myco. 27639,0.99,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,kasama,E19w,E19w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213593,07-Oct-21,19-Nov-21,43,E19,white,Wild,2001,ad,NA,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,2,neg,,77,SB71,,,,,,,,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,estavan,E17w,E17w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213582,07-Oct-21,,,E17,white,Wild,2015,ad,m,Negev,wild,,pos,,,myco. SH20,0.95,,myco. 005,0.95,,,,,,,,,,,,,,,,2,pos,,71,SB63,487648,MGSO_R,2013-07-23,myco. SH20,0.95,myco. 005,0.95,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,logan,E15w,E15w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213588,29-Sep-21,10-Jan-22,103,E15,white,Wild,2002,ad,m,Negev,wild,,pos,myco_005,,myco. 005,1,945/945,myco. 1449 ,0.99,,,,,,,,,,,,,,,,2,pos,,80,SB51,487648,MGSO_R,2013-07-23,myco 1449,0.99,myco. 005,0.99,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,archimedes,E14w,E14w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213589,29-Sep-21,24-Oct-21,25,E14,white,Wild,2005,ad,m,Negev,wild,,pos,,,myco. Sp18b,0.99,,myco. 27639,0.99,,,,,,,,,,,,,,,,2,pos,,81,SB52,486414,MGSO_R,45023,myco. Sp18b,0.99,myco. 27639,0.99,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,erasmus,E13w,E13w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,202378,29-Sep-21,,,E13,white,Wild,2021,juv,m,Negev,wild,,pos,synovia,, synoviae strain HN01,0.99,,,,,,,,,,,,,,,,,,,1,pos,,31,SB49,481926,MGSO_R,45144,mycoplasmopsis synoviae strain HN01,0.99,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,echo,E12w,E12w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213594,29-Sep-21,,,E12,white,Wild,2021,juv,m,Negev,wild,,pos,,,vulturii,0.99,,,,,,,,,,,,,,,,,,,1,pos,,36,SB44,481926,MGSO_R,45144,vulturii,0.99,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,epsilon,E11w,E11w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213591,29-Sep-21,,,E11,white,Wild,2021,juv,m,Negev,wild,,pos,,,vulturii,0.99,,,,,,,,,,,,,,,,,,,1,pos,,35,SB45,481926,MGSO_R,45144,vulturii,0.99,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,edward,E10w,E10w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213551,29-Sep-21,15-Oct-22,381,E10,white,Wild,2021,juv,m,Negev,wild,,pos,ud,,uncultured myco,0.89,double peaks,,,,,,,,,,,,,,,,,,1,pos,,32,SB48,481926,MGSO_R,45144,uncultured myco,0.89,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,tennessee,E07w,E07w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213553,13-Sep-21,24-Oct-21,41,E07,white ,Wild,2006,ad,m,Negev,wild,,pos,47802B,,myco. 47802B,0.99,900/906,Mycoplasma sp. M222-5˜,0.99,900/906,12,SB24,480649,GPF_F,2021-05-23,myco. 47802B,0.94,,,481918,MGSO_R,,Myco. 47802B,0.99,1,pos,,12,SB24,481926,MGSO_R,45144,myco. 47802B,0.97,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,kazania,E05w,E05w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213552,13-Sep-21,,,E05,white ,Wild,2021,juv,f,Negev,wild,,pos,ud,double,myco. Syno NCTC,0.86,,,,,15,SB21,480649,GPF_F,2021-05-23,vulturii,0.99,vulturii,0.99,,,,,,1,pos,,15,SB21,484751,MGSO_R,2021-06-23,myco. Syno. HN01,0.86,myco. Syno NCTC,0.86,double peaks,486414,GPF_F,45023,myco. Syno HN01,0.85,myco. Syno NCTC,0.85
2021,13-Sep-21,2021-09-13,2021,kalogeros,E04w,E04w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213564,13-Sep-21,04-Apr-22,203,E04,white ,Wild,2021,juv,NA,Negev,wild,,pos,ud,*double,myco. syno,0.76,*double peaks,,,,20,SB13,480649,GPF_F,2021-05-23,vulturii,0.99,vulturii,0.99,,,,,,1,pos,,20,SB13,484751,MGSO_R,2021-06-23,myco. Syno HN01,0.76,myco. syno,0.76,*double peaks,486414,GPF_F,45023,myco. Syno NCTC,0.83,myco. Syno ATCC,0.83
2021,13-Sep-21,2021-09-13,2021,kilkenny,E03w,E03w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213556,13-Sep-21,26-Sep-21,13,E03,white ,Wild,2016,ad,m,Negev,wild,,pos,47802B,,Myco. 47802B,0.99,961/967,Mycoplasma sp. M222-5˜,0.99,954/960,14,SB22,480649,GPF_F,2021-05-23,myco. 47802B,0.99,myco. M222,0.99,,,,,,1,pos,,14,SB22,484751,MGSO_R,2021-06-23,Myco. 47802B,0.99,myco. M222-5,0.99,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,bargal,E02w,E02w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213580,13-Sep-21,04-Oct-21,21,E02,white ,Wild,2017,ad,NA,Negev,wild,,pos,,high_temp,double peak,,,,,,2,SB10,479193,GPF_F,45174,nothing found,double peaks,,,,,,double peak,,1,pos,,3,SB10,,,,,,,,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,kyllini,E01w,E01w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213586,07-Oct-21,,,E01,white ,Wild,2021,juv,m,Negev,wild,,pos,,,myco. Syno NCTC,0.87,,,,,myco. Syno HN01,0.87,myco. Syno NCTC,0.87,,,,,,,,,,,2,pos,,74,SB67,486414,MGSO_R,45023,myco. Syno HN01,0.87,myco. Syno NCTC,0.87,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,thronos,E00w,E00w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213554,13-Sep-21,,,E00,white ,Wild,2021,juv,f,Negev,wild,,pos,myco_005,high_temp,myco. 005,0.99,,,,,1,SB12,479193,GPF_F,45174,myco. 005,0.99,myco 1449,0.99,479808,MGSO_R,2015-06-23,myco. 005,0.99,1,pos,,1,SB12,,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,hippocrates,A75w,A75w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213565,13-Sep-21,,,A75 ,white ,Wild,2007,ad,NA,Negev,wild,,pos,,high_temp,Catellicoccus ,0.99,,,,,5,SB6,479193,GPF_F,45174,,,,,,,,Catellicoccus ,0.99,1,pos,,10,SB6,,,,,,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,arthur,A58w,A58w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213578,29-Sep-21,,,A58,white,Wild,2020,sub,NA,Negev,wild,,pos,synovia,,mycoplasmopsis synovaie,0.99,,,,,,,,,,,,,,,,,,,1,pos,,38,SB42,481926,MGSO_R,45144,mycoplasmopsis synovaie,0.99,,,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,kedros,A57w,A57w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213557,07-Oct-21,31-May-22,236,A57,white,Wild,2009,ad,f,Negev,wild,,pos,synovia,,myco. Syno HN01,0.99,,,,,myco. Syno HN01,0.99,myco. Syno NCTC,0.99,,,,,,,,,,,2,pos,,75,SB68,486414,MGSO_R,45023,myco. Syno HN01,0.99,myco. Syno NCTC,0.99,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,plettenberg,A55w,A55w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213560,29-Sep-21,19-Oct-22,385,A55,white,Wild,2003,ad,m,Negev,wild,,pos,MV120BA,,myco. MV120BA,0.99,,myco. 48620KC,0.98,,,,,,,,,,,,,,,,1,pos,,45,SB55,487648,MGSO_R,2013-07-23,myco. MV120BA,0.99,myco. 48620KC,0.98,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,kaolin,A52w,A52w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,202367,07-Oct-21,,,A52,white,Wild,2013,ad,NA,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,2,neg,,62,SB75,,,,,,,,,,,,,,,
